Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
74,Finderlohn,SWF,1977-04-24,Gerber(Gastauftritt Liersdahl),5,Henry Kolarz,Peter Schulze-Rohr,Letzter Fall dieses Ermittlers
75,Spätlese,WDR,1977-05-22,Haferkamp und Kreutzer,10,Herbert Lichtenfeld,Wolfgang Staudte,
76,Wer andern eine Grube gräbt …,SR,1977-06-19,Schäfermann(Gastauftritt Veigl und Lenz),3,Hans Peter Kaufmann,Günter Gräwert,Erster Fall von Schäfermann ohne Liersdahl
77,Schüsse in der Schonzeit,BR,1977-07-17,Veigl,9,Willy Purucker,Helmuth Ashley,
78,Drei Schlingen,WDR,1977-08-28,Haferkamp und Kreutzer,11,Karl Heinz Willschrei,Wolfgang Becker,"Gastauftritt von Vico Torriani in einem „Film im Film“. Wurde zunächst jahrelang nicht wiederholt, aus Gründen des Jugendschutzes dann minimal gekürzt[1]"
79,Der vergessene Mord,ORF,1977-09-11,Marek,7,Fritz Eckhardt,Peter Patzak,
80,Feuerzauber,SFB,1977-10-09,Schmidt,3,"Karl Heinz Knuth, Joachim Nottke",Fritz Umgelter,Letzter Fall dieses Ermittlers
81,Das stille Geschäft,NDR,1977-11-06,Brammer(Gastauftritt Delius),4,"Jochen Wedegärtner, Fred Zander",Jürgen Roland,Letzter Fall dieses Ermittlers
82,Das Mädchen von gegenüber,WDR,1977-12-04,Haferkamp und Kreutzer,12,Martin Gies,Hajo Gies,
83,Rot – rot – tot,SDR,1978-01-01,Lutz,8,Karl Heinz Willschrei,Theo Mezger,"Lutz ermittelt in Stuttgart; Mit 26,57 Millionen Zuschauern bei der Erstausstrahlung der nach Zuschauerzahl erfolgreichste Tatort aller Zeiten.[2]"
84,Der Mann auf dem Hochsitz,SWF,1978-01-29,Buchmüller(Gastauftritt Konrad),1,Richard Hey,Erich Neureuther,Debüt der ersten weiblichen Hauptermittlerin in der Serie
85,Zürcher Früchte,HR,1978-02-12,Bergmann,1,Wolfgang Fechtner,Heinz Schirk,"Mit 24,91 Millionen Zuschauern bei der Erstausstrahlung dritthöchste Zuschauerzahl aller Tatortfolgen.[2] Erster Fall dieses Ermittlers, der in seinen beiden anderen Fällen von einem anderen Schauspieler dargestellt wird.[3]"
86,Trimmel hält ein Plädoyer,NDR,1978-03-27,Trimmel,9,Friedhelm Werremeier,Peter Schulze-Rohr,
87,Rechnung mit einer Unbekannten,WDR,1978-04-23,Haferkamp und Kreutzer(Gastauftritt Buchmüller),13,Peter Hemmer,Wolfgang Becker,
88,Schlußverkauf,BR,1978-05-21,Veigl,10,Konrad Sabrautzky,Wilm ten Haaf,
89,Lockruf,WDR,1978-07-02,Haferkamp und Kreutzer,14,Herbert Lichtenfeld,Wolfgang Becker,Teilweise in der gleichen Dekoration gedreht wie Folge 51 „Fluchtwege“ der ZDF-Krimiserie „Der Kommissar“.
90,Himmelfahrt,NDR,1978-08-13,Finke,7,Herbert Lichtenfeld,Rainer Wolffhardt,Letzter Fall dieses Ermittlers.
91,Der Feinkosthändler,WDR,1978-09-10,Haferkamp und Kreutzer,15,Martin Gies,Hajo Gies,
92,Mord im Krankenhaus,ORF,1978-10-08,Marek,8,Fritz Eckhardt,Michael Kehlmann,
93,Sterne für den Orient,SFB,1978-11-05,Behnke,1,"Georg Alten, Günter Gräwert",Günter Gräwert,
94,Schwarze Einser,BR,1978-12-03,Veigl,11,Willy Purucker,Wolf Dietrich,
95,Die Kugel im Leib,WDR,1979-01-14,Haferkamp und Kreutzer,16,Georg Feil,Wolfgang Staudte,
96,Der King,HR,1979-02-11,Konrad(Gastauftritt Marek und Lenz),8,Hans Kelch,Dietrich Haugk,Letzter Einsatz für Klaus Höhne als Konrad.
97,Alles umsonst,NDR,1979-03-11,Nagel,1,Theodor Schübel,Hartmut Griesmayr,Einziger Fall dieses Ermittlers
98,30 Liter Super,SR,1979-04-08,Schäfermann,4,Bruno Hampel,Hans-Jürgen Tögel,
99,Ende der Vorstellung,BR,1979-05-06,Veigl,12,Norbert Ehry,Georg Marischka,
100,Ein Schuß zuviel,WDR,1979-06-04,Haferkamp und Kreutzer,17,Wolfgang Mühlbauer,Hartmut Griesmayr,
101,Freund Gregor,NDR,1979-07-01,Delius,1,Fred Zander,Jürgen Roland,
102,Zweierlei Knoten,SDR,1979-07-29,Lutz,9,Karl Heinz Willschrei,Theo Mezger,Lutz ermittelt in Mannheim
103,"Mitternacht, oder kurz danach",SWF,1979-08-26,Buchmüller,2,Irene Rodrian,Michael Lähn,
104,Gefährliche Träume,SFB,1979-09-23,Behnke,2,"Georg Alten, Günter Gräwert",Günter Gräwert,Letzter Fall dieses Ermittlers
105,Mord im Grand-Hotel,ORF,1979-10-21,Marek,9,Fritz Eckhardt,Georg Lhotsky,
106,Schweigegeld,WDR,1979-11-18,Haferkamp und Kreutzer,18,Herbert Lichtenfeld,Hartmut Griesmayr,
107,Maria im Elend,BR,1979-12-16,Veigl,13,Willy Purucker,Wolf Dietrich,
108,Kein Kinderspiel,SDR,1980-01-13,Lutz,10,Peter Scheibler,Theo Mezger,Lutz ermittelt in Heilbronn
109,Der gelbe Unterrock,SWF,1980-02-10,Buchmüller,3,Kristian Kühn,Kristian Kühn,Wegen mangelnder künstlerischer Qualität bis 2016 nicht wiederholt;[1] letzter Fall dieser Ermittlerin
110,Mit nackten Füßen,HR,1980-03-09,Sander,1,Karl Heinz Willschrei,Franz Peter Wirth,Einziger Fall dieses Ermittlers. Wegen missverständlicher Ausdrucksweise über Epileptiker nicht wiederholt.[1] Diese Tatort-Folge trug den Alternativtitel Mord ohne Reue und wurde von Video Palace auf VHS veröffentlicht.[5][6]
111,Der Zeuge,WDR,1980-04-07,Enders und Kreutzer,1,Peter Adam,Peter Adam,"Einziger Fall von Enders. Haferkamp ist im Urlaub, Enders ermittelt mit Kreutzer in Frankfurt."
112,"Hände hoch, Herr Trimmel!",NDR,1980-05-04,Trimmel,10,Friedhelm Werremeier,Carlheinz Caspari,Assistent Höffgen wird von Karl-Heinz von Hassel dargestellt.
113,Schußfahrt,WDR,1980-06-01,Haferkamp und Kreutzer,19,Peter Hemmer,Wolfgang Staudte,
114,Spiel mit Karten,BR,1980-07-27,Veigl,14,Theo Regnier,Wolf Dietrich,
115,Streifschuß,NDR,1980-08-24,Piper,1,Herbert Lichtenfeld,Hartmut Griesmayr,
116,Tote reisen nicht umsonst,SR,1980-09-21,Schäfermann,5,"Hans Dieter Schreeb, Hans-Georg Thiemt",Rolf von Sydow,
117,Mord auf Raten,ORF,1980-10-19,Marek,10,Fritz Eckhardt,Georg Lhotsky,
118,Schönes Wochenende,WDR,1980-11-16,Haferkamp und Kreutzer,20,Uwe Erichsen,Wolfgang Staudte,Letzter Fall dieses Ermittlerteams. Kreutzer ermittelt in einem weiteren Fall ohne Haferkamp.
119,Herzjagd,WDR,1980-12-14,Kreutzer,1,Bernd Schwamm,Axel Corti,Kreutzer war in 20 Folgen der Assistent von Kommissar Haferkamp und hatte hier seinen einzigen Fall als Hauptermittler
120,Nebengeschäfte,SDR,1981-01-11,Lutz,11,Peter Scheibler,Bruno Voges,Lutz ermittelt in Stuttgart
121,Schattenboxen,HR,1981-02-08,Bergmann,2,"Hans Kelch, -ky (Vorlage)",Fritz Umgelter,"Zweiter Fall dieses Ermittlers, der in seinem ersten Fall von einem anderen Schauspieler dargestellt wurde.[3]"
122,Beweisaufnahme,SFB,1981-03-08,Walther,1,Herbert Lichtenfeld,Peter Keglevic,
123,Usambaraveilchen,BR,1981-04-20,Veigl,15,Herbert Rosendorfer,Wilm ten Haaf,Letzter Fall dieses Ermittlers.
124,Das Lederherz,SWF,1981-05-03,Wiegand,1,Irene Rodrian,Imo Moszkowicz,
125,Das Zittern der Tenöre,NDR,1981-05-31,Greve,1,Hansjörg Martin,Hans Dieter Schwarze,Einziger Fall dieses Ermittlers.
126,Duisburg-Ruhrort,WDR,1981-06-28,Schimanski und Thanner,1,"Thomas Wittenburg, Horst Vocks",Hajo Gies,Erster Schimanski-Tatort
127,Katz und Mäuse,SFB,1981-08-23,Walther,2,"Karl Heinz Knuth, Joachim Nottke",Eberhard Itzenplitz,
128,Slalom,NDR,1981-09-13,Beck,1,"Claus Bender, Wolfgang Storch",Wolfgang Storch,Einziger Fall dieses Ermittlers
129,Mord in der Oper,ORF,1981-10-18,Marek,11,Fritz Eckhardt,Wolfgang Glück,
130,Im Fadenkreuz,BR,1981-11-15,Lenz,1,Peter Hemmer,Thomas Engel,
131,Grenzgänger,WDR,1981-12-13,Schimanski und Thanner,2,Felix Huby,Ilse Hofmann,
132,Blinde Wut,SDR,1982-01-10,Lutz,12,Peter Scheibler,Theo Mezger,Lutz ermittelt in Stuttgart
133,So ein Tag …,HR,1982-02-07,Rolfs,1,"Jürgen Roland, Uwe Erichsen",Jürgen Roland,Einziger Fall dieses Ermittlers
134,Der unsichtbare Gegner,WDR,1982-03-07,Schimanski und Thanner,3,"Horst Vocks, Thomas Wittenburg",Hajo Gies,
135,Tod auf dem Rastplatz,BR,1982-04-12,Lenz,2,Frank Lämmel,Wilm ten Haaf,Mit 62:10 Minuten außergewöhnlich kurz
136,"Wat Recht is, mutt Recht blieben",NDR,1982-05-02,Schnoor,1,"Boy Lornsen, Elke Loewe",Volker Vogeler,Einziger Fall dieses Ermittlers. Teilweise in niederdeutscher Sprache gesprochen und hochdeutsch untertitelt
137,Sterben und sterben lassen,SFB,1982-05-31,Walther,3,"Bernhard Frey, Jens-Peter Behrend",Peter Keglevic,
138,Das Mädchen auf der Treppe,WDR,1982-06-27,Schimanski und Thanner,4,Martin Gies,Peter Adam,
139,Blaßlila Briefe,SWF,1982-07-25,Wiegand,2,Kurt Rittig,Stanislav Barabáš,Mit 102:24 Minuten außergewöhnlich lang. Wiegand ermittelt in Freiburg.
140,Kindergeld,NDR,1982-08-22,Piper,2,Herbert Lichtenfeld,Hartmut Griesmayr,Letzter Fall dieses Ermittlers
141,Trimmel und Isolde,NDR,1982-09-19,Trimmel,11,Friedhelm Werremeier,Peter Weck,Letzter Einsatz für Trimmel
142,Mordkommando,ORF,1982-10-17,Marek,12,Fritz Eckhardt,Jochen Bauer,
143,Kuscheltiere,WDR,1982-12-12,Schimanski und Thanner,5,Chiem van Houweninge,Hajo Gies,
144,Mord ist kein Geschäft,SDR,1983-01-09,Lutz,13,Felix Huby,Theo Mezger,Lutz ermittelt in Stuttgart
145,Fluppys Masche,SFB,1983-02-06,Walther,4,"Karl Heinz Knuth, Joachim Nottke",Wolfgang Luderer,
146,Miriam,WDR,1983-04-04,Schimanski und Thanner,6,"Horst Vocks, Thomas Wittenburg",Peter Adam,
147,Blütenträume,HR,1983-05-01,Bergmann,3,Bruno Hampel,Claus Peter Witt,"Dritter Fall dieses Ermittlers, der in seinem ersten Fall von einem anderen Schauspieler dargestellt wurde.[3]"
148,Peggy hat Angst,SWF,1983-05-23,Wiegand,3,Norbert Ehry,Wolfgang Becker,
149,Wenn alle Brünnlein fließen,NDR,1983-06-26,Ronke,1,Detlef Müller,Pete Ariel,Einziger Fall dieses Ermittlers
150,Mord in der U-Bahn,ORF,1983-09-18,Marek a. D.,13,Fritz Eckhardt,Kurt Junek,"Marek wurde vor diesem Fall pensioniert, und Oberinspektor Glauber übernimmt die Leitung des Kommissariats. Dann wird Glauber suspendiert und Bezirksinspektor Wirz wird Kommissariatsleiter. Dies ist Mareks letzter Fall, er hatte später noch mehrere Gastauftritte. Die Figur des Wirz wurde ab dem nächsten Fall mit dem Oberinspektor Hirth vom Sicherheitsbüro ersetzt."
151,Roulette mit 6 Kugeln,BR,1983-10-16,Lenz,3,Peter Hemmer,Lutz Büscher,
152,Der Schläfer,NDR,1983-11-06,Delius,2,Jochen Wedegärtner,Jürgen Roland,
153,Rubecks Traum,HR,1984-01-08,Rullmann,1,Heinz Schirk,Heinz Schirk,Einziger Fall dieses Ermittlers.
154,Freiwild,SFB,1984-02-05,Walther,5,Heinz-Dieter Ziesing,Wolfgang Staudte,
155,Verdeckte Ermittlung,SDR,1984-02-26,Lutz,14,Peter Scheibler,Theo Mezger,Lutz ermittelt in Stuttgart
156,Kielwasser,WDR,1984-03-25,Schimanski und Thanner,7,Chiem van Houweninge,Hajo Gies,
157,Haie vor Helgoland,NDR,1984-04-23,Stoever,1,Peter Hemmer,Hartmut Griesmayr,
158,Täter und Opfer,SWF,1984-05-27,Wiegand,4,Peter Hemmer,Ilse Hofmann,
159,Zweierlei Blut,WDR,1984-07-22,Schimanski und Thanner,8,"Fred Breinersdorfer, Felix Huby",Hajo Gies,"Mit Dietmar Bär, dem späteren Kommissar Freddy Schenk"
160,Gelegenheit macht Liebe,NDR,1984-08-19,Stoever,2,Peter Hemmer,Pete Ariel,
161,Heißer Schnee,BR,1984-09-09,Lenz,4,Plym Pahl,Wilma Kottusch,
162,Geburtstagsgrüße,SR,1984-11-04,Schäfermann,6,Herbert Lichtenfeld,Georg Tressler,Letzter Fall dieses Ermittlers
163,Der Mann mit den Rosen,ORF,1984-11-25,Hirth,1,"Harald Mini, Kurt Junek",Kurt Junek,
164,Rechnung ohne Wirt,WDR,1984-12-09,Schimanski und Thanner,9,Peter Adam,Peter Adam,
165,Ordnung ist das halbe Sterben,SFB,1985-01-06,Walther,6,Detlef Michel,Wolfgang Tumler,Letzter Fall dieses Ermittlers
166,"Acht, neun – aus",HR,1985-02-10,Dietze,1,"Jürgen Roland, Uwe Erichsen",Jürgen Roland,Einziger Fall dieses Ermittlers
167,Doppelspiel,WDR,1985-03-31,Schimanski und Thanner,10,Christoph Fromm,Hajo Gies,
168,Irren ist tödlich,NDR,1985-04-14,Stoever,3,Peter Hemmer,Wolfgang Storch,
169,Miese Tricks,SDR,1985-05-26,Lutz,15,Karl Heinz Willschrei,Theo Mezger,Lutz ermittelt in Karlsruhe
170,Der Mord danach,SWF,1985-06-23,Wiegand,5,Sylvia Hoffman,Iwan P. Schumacher,
171,Das Haus im Wald,WDR,1985-08-18,Schimanski und Thanner,11,Peter Adam,Peter Adam,
172,Nachtstreife,ORF,1985-09-15,Hirth,2 (4),Leo Frank,Jochen Bauer,
173,Schmerzensgeld,HR,1985-10-13,Brinkmann,1,Hans Kelch,Wolfgang Luderer,Nach Motiven des Kriminalromans Die Patentlösung von Peter Hebel
174,Tod macht erfinderisch,SFB,1985-11-10,Bülow,1,Detlef Michel,Rolf von Sydow,
175,Baranskis Geschäft,NDR,1985-12-01,Delius a. D.(Gastauftritt Marek a. D. und Hirth),3,"Friedhelm Werremeier, Jochen Wedegärtner",Jürgen Roland,Letzter Fall dieses Ermittlers
176,Schicki-Micki,BR,1985-12-29,Lenz,5,"Ernst Fischer, Herbert Riehl-Heyse",Hans-Reinhard Müller,
177,Die kleine Kanaille,SFB,1986-01-26,Bülow,2,Dieter Schubert,Rolf von Sydow,
178,Einer sah den Mörder,SDR,1986-02-23,Lutz und Schreitle,16,Fritz Eckhardt,Theo Mezger,"Lutz ermittelt in Stuttgart; er ist einer der Tatverdächtigen und gibt die Ermittlungen am Anfang offiziell an Schreitle ab, ermittelt aber privat weiter; letzter Fall von Lutz."
179,Leiche im Keller,NDR,1986-03-31,Stoever und Brockmöller,4,Kurt Bartsch,Pete Ariel,
180,Der Tausch,WDR,1986-04-13,Schimanski und Thanner,12,"Hartmut Grund, Chiem van Houweninge",Ilse Hofmann,
181,"Riedmüller, Vorname Sigi",BR,1986-05-19,Riedmüller,1,Franz Xaver Wendleder,Michael Kehlmann,Einziger Fall dieses Ermittlers.
182,Aus der Traum,SWF,1986-06-15,Wiegand,6,Norbert Ehry,Hansgünther Heyme,
183,Tödliche Blende,SFB,1986-07-13,Bülow,3,Rolf von Sydow,Horst Flick,
184,Schwarzes Wochenende,WDR,1986-08-10,Schimanski und Thanner,13,"Bernd Schwamm, Dominik Graf, Michael Hatry",Dominik Graf,
185,Tod auf Eis,NDR,1986-09-07,Stoever und Brockmöller,5,Wolfgang Graetz,Dietrich Haugk,
186,Wir werden ihn Mischa nennen,ORF,1986-09-21,Hirth,3 (9),"Kurt Junek, Harald Mini",Kurt Junek,Letzter Fall dieses Ermittlers
187,Automord,HR,1986-11-30,Brinkmann(Gastauftritt Marek a. D.),2,Fritz Eckhardt,Wilm ten Haaf,
188,Freunde,WDR,1986-12-28,Schimanski und Thanner,14,"Horst Vocks, Thomas Wittenburg",Klaus Emmerich,
189,Die Macht des Schicksals,BR,1987-01-25,Lenz,6,"Klaus Richter, Ulf Miehe",Reinhard Schwabenitzky,
190,Eine Million Mäuse,SDR,1987-02-22,Schreitle,1,Gerd Angermann,Theo Mezger,
191,Blindflug,HR,1987-03-29,Brinkmann,3,Sylvia Hoffman,Sylvia Hoffman,
192,Tod im Elefantenhaus,NDR,1987-04-20,Stoever und Brockmöller,6,"Sven Freiheit, Peter Weissflog (Roman)",Bernd Schadewald,Teile des Films wurden im Tierpark Hagenbeck gedreht.
193,Spiel mit dem Feuer,SWF,1987-05-17,Wiegand,7,"Knut Boeser, Barbara Piazza",Wolfgang Storch,
194,Spielverderber,WDR,1987-06-08,Schimanski und Thanner,15,"Felix Huby, Hartmut Grund",Pete Ariel,
195,Pension Tosca oder Die Sterne lügen nicht,BR,1987-07-12,Scherrer,1,Michael Kehlmann,Michael Kehlmann,Einziger Fall dieses ErmittlersMit 113:40 Minuten außergewöhnlich lang
196,Wunschlos tot,ORF,1987-08-30,Pfeifer(Gastauftritt Marek a. D. und Lenz),1 (4),"Kurt Junek, Bert Steingötter (Vorlage)",Kurt Junek,Die Gruppe Pfeifer wird von Inspektor Herbert Passini unterstützt.
197,Gegenspieler,BR,1987-09-13,Lenz,7,"Ulf Miehe, Klaus Richter",Reinhard Schwabenitzky,Letzter Fall dieses Ermittlers
198,Voll auf Haß,NDR,1987-11-08,Stoever und Brockmöller,7,Bernd Schadewald,Bernd Schadewald,Deutscher Civis Fernsehpreis 1988 an Bernd Schadewald
199,Der letzte Mord,ORF,1987-11-29,Pfeifer(Gastauftritt Marek a. D.),2 (5),Fritz Eckhardt,Kurt Junek,
200,Zahn um Zahn,WDR,1987-12-27,Schimanski und Thanner,16,"Horst Vocks, Thomas Wittenburg, Hartmut Grund, Hajo Gies",Hajo Gies,"Lief 1985, vor der Fernsehausstrahlung, als erster Tatort in Deutschland im Kino"
201,Salü Palu,SR,1988-01-24,Palu(Gastauftritt Thanner),1,Felix Huby,Hans-Christoph Blumenberg,Gastauftritt der Sängerin Sandra
202,Schuldlos schuldig,SFB,1988-02-28,Bülow,4,"Peter Scheibler, Thomas Engel (Fernsehbearbeitung)",Thomas Engel,
203,Sein letzter Wille,SDR,1988-04-04,Schreitle,2,"Hartmut Grund, Felix Huby",Hartmut Griesmayr,
204,Die Brüder,HR,1988-04-17,Brinkmann,4,Heinz Schirk,Heinz Schirk,
205,Gebrochene Blüten,WDR,1988-05-01,Schimanski und Thanner,17,Martin Gies,Hajo Gies,
206,Ausgeklinkt,SWF,1988-05-23,Wiegand,8,Sylvia Hoffman,Sylvia Hoffman,Letzter Fall dieser Ermittlerin
207,Spuk aus der Eiszeit,NDR,1988-07-10,Stoever und Brockmöller,8,Erich Loest,Stanislav Barabáš,Beklemmendes Kapitel deutsch-deutscher Beziehungen
208,Pleitegeier,NDR,1988-08-07,Stoever und Brockmöller,9,Bruno Hampel,Pete Ariel,
209,Einzelhaft,WDR,1988-08-21,Schimanski und Thanner,18,Frank Göhre,Theodor Kotulla,
210,Tödlicher Treff,SDR,1988-09-04,Schreitle,3,Peter Scheibler,Bruno Voges,Letzter Fall dieses Ermittlers
211,Feuerwerk für eine Leiche,ORF,1988-10-02,Pfeifer,3 (8),Bert Steingötter,Kurt Junek,Letzter Fall dieses Ermittlers
212,Winterschach,SR,1988-11-13,Palu,2,Manfred Jacobs,Hans-Christoph Blumenberg,
213,Programmiert auf Mord,BR,1988-12-11,Brandenburg,1,Peter Hemmer,Konrad Sabrautzky,
214,Moltke,WDR,1988-12-28,Schimanski und Thanner,19,"Jan Hinter, Thomas Wesskamp, Axel Götz",Hajo Gies,Adolf-Grimme-Preis in Gold
215,Kopflos,HR,1989-01-22,Brinkmann,5,Hans Kelch,Sylvia Hoffman,
216,Schmutzarbeit,NDR,1989-02-19,Stoever und Brockmöller,10,Ulrich Kressin,Werner Masten,
217,Der Pott,WDR,1989-04-09,Schimanski und Thanner,20,"Axel Götz, Thomas Wesskamp",Karin Hercher,Gastauftritt der Band Ton Steine Scherben
218,Bier vom Faß,BR,1989-05-14,Brandenburg,2,Frank Lämmel,Rüdiger Graf,Letzter Fall dieses Ermittlers
219,"Keine Tricks, Herr Bülow",SFB,1989-05-28,Bülow,5,Harald Vock,Jürgen Roland,
220,Armer Nanosh,NDR,1989-07-09,Stoever und Brockmöller,11,"Martin Walser, Asta Scheib",Stanislav Barabáš,
221,Alles Theater,SFB,1989-07-30,Bülow,6,Knut Boeser,Peter Adam,Letzter Fall dieses Ermittlers
222,Blutspur,WDR,1989-08-20,Schimanski und Thanner,21,Peter Steinbach,Werner Masten,Jahrelang nicht wiederholt wegen schlechter Qualität und brutaler Darstellung von Gewalt gegen Minderheiten[1]
223,Blinde Angst,ORF,1989-10-01,Fichtl,1 (2),Bert Steingötter,Kurt Junek,
224,Die Neue,SWF,1989-10-29,Odenthal,1,Norbert Ehry,Peter Schulze-Rohr,"Erster Fall für Lena Odenthal, die somit die derzeitig „dienstälteste“ Ermittlerin des Tatorts ist."
225,Katjas Schweigen,WDR,1989-12-03,Schimanski und Thanner,22,Uwe Erichsen,Hans Noever,
226,Herzversagen,SR,1989-12-27,Palu,3,"Hans-Georg Thiemt, Hans Dieter Schreeb",Michael Mackenroth,
227,Lauf eines Todes,NDR,1990-01-21,Stoever und Brockmöller,12,Lothar Hirschmann,Wolfgang Storch,
228,Tod einer Ärztin,HR,1990-02-18,Brinkmann,6,Heinz Schirk,Heinz Schirk,
229,Howalds Fall,SF,1990-04-16,Howald,1,"Johannes Bösiger, Urs Egger",Urs Egger,Einziger Fall dieses Ermittlers
230,Medizinmänner,WDR,1990-05-13,Schimanski und Thanner,23,Chiem van Houweninge,Peter Carpentier,
231,Rendezvous,SWF,1990-06-04,Odenthal,2,Martin Gies,Martin Gies,
232,Zabou,WDR,1990-07-22,Schimanski und Thanner,24,"Martin Gies, Axel Götz",Hajo Gies,Lief 1987 zunächst als Kinofilm
233,Zeitzünder,NDR,1990-08-04,Stoever und Brockmöller,13,Detlef Müller,Pete Ariel,
234,Schimanskis Waffe,WDR,1990-09-02,Schimanski und Thanner,25,"Uwe Erichsen, Hans Noever, Wolfgang Hesse",Hans Noever,
235,Unter Brüdern,WDR/DFF,1990-10-28,Schimanski und Thanner / Fuchs und Grawe,26,"Helmut Krätzig, Veith von Fürstenberg",Helmut Krätzig,Koproduktion (Crossover) mit der Reihe Polizeiruf 110
236,Seven Eleven,ORF,1990-11-11,Fichtl,2 (3),Peter Zingler,Kurt Junek,
237,Blue Lady,SR,1990-12-09,Palu,4,"Charlie Bick, Erhard Schmied",Hans-Christoph Blumenberg,
238,Animals,BR,1991-01-01,Batic und Leitmayr,1,"Max Zihlmann, Veith von Fürstenberg",Walter Bannert,
239,Finale am Rothenbaum,NDR,1991-01-20,Stoever und Brockmöller,14,Frank Göhre,Dieter Kehler,
240,Wer zweimal stirbt,BR,1991-03-03,Batic und Leitmayr,2,"Thomas Wesskamp, Stefan Cantz",Ilse Hofmann,
241,Rikki,HR,1991-03-17,Brinkmann,7,Sylvia Hoffman,Sylvia Hoffman,
242,Kameraden,SF,1991-04-01,Carlucci,1,Markus Fischer,Markus Fischer,Carlucci war Howalds Assistent (Tatort 229) und wurde nun Hauptermittler
243,Tödliche Vergangenheit,SFB,1991-05-20,Markowitz,1,Marianne Lüdcke,Marianne Lüdcke,
244,Bis zum Hals im Dreck,WDR,1991-06-09,Schimanski und Thanner,27,"Chiem van Houweninge, Wolfgang Hesse (Mitarbeit)",Peter Carpentier,
245,Tini,SFB,1991-07-07,Markowitz,2,Werner Waldhoff,Stanislav Barabáš,
246,Tod eines Mädchens,NDR,1991-08-04,Stoever und Brockmöller,15,Horst Bieber,Jürgen Roland,
247,Telefongeld,ORF,1991-09-15,Fichtl,3 (4),Peter Zingler,Hans Noever,
248,Blutwurstwalzer,SFB,1991-09-22,Markowitz,3,Horst Sczerba,Wolfgang Becker,Mit 117 Minuten Sendelänge eine der längsten Episoden
249,Tod im Häcksler,SWF,1991-10-13,Odenthal,3,"Stefan Dähnert, Nico Hofmann",Nico Hofmann,Gegenstand einer Debatte im Landtag Rheinland-Pfalz wegen diskriminierender Darstellung der Region als „Zerrbild eines ‚pfälzisch Sibiriens‘“.[7][8]
250,Kinderlieb,WDR,1991-10-27,Schimanski und Thanner,28,"Gaby Pauler, Hartmut Grund",Ilse Hofmann,
251,Die chinesische Methode,BR,1991-11-10,Batic und Leitmayr,3,"Volker Maria Arend, Andreas Missler-Morell",Maria Knilli,
252,Der Fall Schimanski,WDR,1991-12-29,Schimanski und Thanner(Gastauftritt Palu),29,"Axel Götz, Thomas Wesskamp",Hajo Gies,"Bayerischer Fernsehpreis 1992 für Götz George und Hajo Gies; Letzter Fall Schimanskis beim Tatort, später tritt Schimanski in einer eigenen Serie auf"
253,Ein Fall für Ehrlicher,MDR,1992-01-19,Ehrlicher und Kain(Gastauftritt Veigl),1,Hans-Werner Honert,Hans-Werner Honert,Erster Fall des ErmittlerteamsFilm wurde noch vom Deutschen Fernsehfunk produziert und vom MDR übernommen[9]
254,Camerone,SR,1992-02-16,Palu,5,Hans-Christoph Blumenberg,Hans-Christoph Blumenberg,Gastauftritt des US-Schauspielers Robert Vaughn
255,Verspekuliert,HR,1992-03-15,Brinkmann,8,Peter Scheibler,Wolfgang Luderer,
256,Blindekuh,NDR,1992-04-20,Stoever und Brockmöller,16,Ulrich Kressin,Werner Masten,
257,Experiment,NDR,1992-05-03,Stoever und Brockmöller,17,"Peter Sichrovsky, Dieter Hirschberg",Werner Masten,
258,Der Mörder und der Prinz,WDR,1992-05-17,"Flemming, Koch und Ballauf",1,"Nikolaus Stein von Kamienski, Jacki Engelken, Wolfgang Hesse",Kaspar Heidelbach,
259,Tod aus der Vergangenheit,MDR,1992-06-08,Ehrlicher und Kain(Gastauftritt Veigl),2,Hans-Werner Honert,Hans-Werner Honert,Film wurde noch vom Deutschen Fernsehfunk produziert und vom MDR übernommen[9]
260,Stoevers Fall,NDR,1992-07-05,Stoever und Brockmöller,18,"Dieter Hirschberg, Willi Voss",Jürgen Roland,"Mit 15,86 Millionen Zuschauern und einem Marktanteil von 52,80 Prozent die bis heute erfolgreichste Erstsendung nach dem 1992 geänderten Quotenmess-Modus (Stand: 14. April 2013)[10]"
261,Kinderspiel,ORF,1992-08-16,Fichtl,4 (5),Peter Zingler,Oliver Hirschbiegel,Adolf-Grimme-Preis 1993
262,Kainsmale,BR,1992-09-20,Batic und Leitmayr,4,Wolfgang Hesse,Erwin Keusch,
263,Unversöhnlich,WDR,1992-10-04,"Flemming, Koch und Ballauf",2,Norbert Ehry,Ilse Hofmann,
264,Marion,SF,1992-10-11,Carlucci und Gertsch,2,"Johannes Bösiger, Bruno Kaspar, Niklaus Schlienger",Bruno Kaspar,Letzter Fall dieses Ermittlers
265,Tod eines Wachmanns,WDR,1992-10-25,"Flemming, Koch und Ballauf",3,"Axel Götz, Thomas Wesskamp",Ilse Hofmann,
266,Bienzle und der Biedermann,SDR,1992-12-06,Bienzle,1,"Felix Huby, Dieter de Lazzer, Peter Adam (Mitarbeit)",Peter Adam,
267,Falsche Liebe,SWF,1992-12-20,Odenthal,4,Ulli Stephan,Susanne Zanke,
